Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Lithuania,2528,32,82,1,1747,8,699,6,931.0,30.0,594478,218817.0,2716782,Europe
South Sudan,2494,0,47,0,1290,0,1157,0,222.0,4.0,12044,1074.0,11211232,Africa
Tunisia,2427,0,60,0,1395,0,972,8,205.0,5.0,117086,9893.0,11835190,Africa
Gambia,2401,113,81,4,435,0,1885,0,990.0,33.0,10781,4445.0,2425175,Africa
Estonia,2227,20,63,0,2009,7,155,0,1679.0,47.0,138166,104146.0,1326659,Europe
Guinea-Bissau,2149,32,33,0,1015,0,1101,5,1089.0,17.0,1500,760.0,1973934,Africa
Benin,2095,0,39,0,1690,0,366,0,172.0,3.0,107057,8802.0,12163293,Africa
Angola,2044,29,93,1,742,44,1209,24,62.0,3.0,64747,1962.0,32992785,Africa
Iceland,2040,5,10,0,1913,10,117,1,5973.0,29.0,191690,561245.0,341544,Europe
Yemen,1899,7,541,2,1058,3,300,0,63.0,18.0,120,4.0,29910283,Asia
Uganda,1750,94,19,3,1194,6,537,0,38.0,0.4,336713,7333.0,45919408,Africa
New Zealand,1654,5,22,0,1531,0,101,6,331.0,4.0,657506,131446.0,5002100,Australia/Oceania
Bahamas,1531,0,22,0,209,0,1300,61,3888.0,56.0,8320,21130.0,393749,North America
Malta,1510,40,9,0,802,18,699,0,3419.0,20.0,166348,376604.0,441705,Europe
Jordan,1498,16,11,0,1261,2,226,3,147.0,1.0,720972,70568.0,10216733,Asia
Uruguay,1493,0,40,0,1228,0,225,5,430.0,12.0,152121,43771.0,3475383,South America
Aruba,1387,91,6,1,277,0,1104,2,12983.0,56.0,17669,165397.0,106828,North America
Cyprus,1385,0,20,0,878,0,487,5,1146.0,17.0,263943,218396.0,1208550,Asia
Georgia,1370,9,17,0,1108,10,245,0,344.0,4.0,315142,79021.0,3988097,Asia
Latvia,1327,1,33,0,1093,0,201,0,705.0,18.0,232918,123682.0,1883201,Europe
Botswana,1308,0,3,0,136,0,1169,1,555.0,1.0,93420,39622.0,2357765,Africa
Jamaica,1192,46,14,0,772,2,406,1,402.0,5.0,49215,16610.0,2962936,North America
Togo,1190,0,27,0,875,0,288,2,143.0,3.0,55106,6636.0,8303492,Africa
Niger,1167,0,69,0,1079,0,19,0,48.0,3.0,9052,372.0,24312746,Africa
Andorra,1024,0,53,0,875,0,96,1,13250.0,686.0,137457,1778642.0,77282,Europe
Vietnam,1007,13,25,0,542,9,440,0,10.0,0.3,817208,8385.0,97456546,Asia
Lesotho,996,50,30,0,423,152,543,0,464.0,14.0,12033,5611.0,2144545,Africa
Réunion,996,51,5,0,657,0,334,3,1111.0,6.0,35419,39522.0,896178,Africa
Sao Tome and Principe,887,2,15,0,829,3,43,0,4038.0,68.0,3356,15276.0,219688,Africa
Guyana,776,0,27,0,381,0,368,2,986.0,34.0,6297,8001.0,787071,South America
Trinidad and Tobago,730,44,12,0,140,0,578,3,521.0,9.0,17761,12685.0,1400111,North America
San Marino,704,0,42,0,657,0,5,0,20742.0,1237.0,6511,191833.0,33941,Europe
Channel Islands,613,0,48,0,545,0,20,0,3521.0,276.0,68985,396286.0,174079,Europe
Belize,553,0,5,1,38,0,510,3,1387.0,13.0,5592,14030.0,398568,North America
Guadeloupe,510,0,15,0,289,0,206,2,1275.0,37.0,23585,58943.0,400133,North America
Taiwan,486,0,7,0,457,0,22,0,20.0,0.3,85349,3583.0,23822725,Asia
Burundi,422,0,1,0,336,0,85,0,35.0,0.08,19993,1675.0,11934849,Africa
Myanmar,399,5,6,0,333,0,60,0,7.0,0.1,141044,2590.0,54459323,Asia
Faeroe Islands,383,1,0,0,274,18,109,3,7834.0,0.0,80312,1642775.0,48888,Europe
Papua New Guinea,359,12,3,0,196,86,160,0,40.0,0.3,13361,1490.0,8969038,Australia/Oceania
Sint Maarten,348,15,17,0,133,26,198,3,8104.0,396.0,1983,46180.0,42941,North America
Mauritius,346,0,10,0,334,0,2,0,272.0,8.0,205285,161380.0,1272059,Africa
Martinique,336,0,16,0,98,0,222,2,895.0,43.0,12227,32586.0,375224,North America
Turks and Caicos,327,12,2,0,56,0,269,3,8431.0,52.0,1940,50018.0,38786,North America
Mongolia,298,0,0,0,281,0,17,1,91.0,0.0,46332,14103.0,3285221,Asia
Cambodia,273,0,0,0,253,2,20,1,16.0,0.0,83626,4993.0,16749596,Asia
Gibraltar,229,6,0,0,200,3,29,0,6797.0,0.0,28366,841971.0,33690,Europe
French Polynesia,211,0,0,0,68,0,143,2,751.0,0.0,9912,35258.0,281129,Australia/Oceania
Cayman Islands,205,0,1,0,202,0,2,0,3114.0,15.0,33617,510703.0,65825,North America
Bermuda,166,0,9,0,147,0,10,0,2667.0,145.0,35054,563153.0,62246,North America
Barbados,155,0,7,0,123,0,25,0,539.0,24.0,14879,51767.0,287424,North America
Monaco,150,2,4,0,115,1,31,1,3819.0,102.0,51953,1322632.0,39280,Europe
Bhutan,150,3,0,0,105,2,45,0,194.0,0.0,66835,86490.0,772744,Asia
Brunei ,143,0,3,0,139,0,1,0,326.0,7.0,49399,112772.0,438042,Asia
Saint Martin,121,0,5,0,49,0,67,1,3122.0,129.0,2449,63197.0,38752,North America
Liechtenstein,99,1,1,0,88,0,10,0,2595.0,26.0,900,23595.0,38143,Europe
Antigua and Barbuda,94,0,3,0,88,0,3,1,959.0,31.0,1647,16800.0,98038,North America
St. Vincent Grenadines,58,0,0,0,56,0,2,0,523.0,0.0,2954,26615.0,110988,North America
Curaçao,36,0,1,0,31,0,4,0,219.0,6.0,1080,6578.0,164185,North America
Fiji,28,0,1,0,20,0,7,0,31.0,1.0,6693,7459.0,897325,Australia/Oceania
Saint Lucia,26,0,0,0,25,0,1,0,142.0,0.0,4801,26129.0,183742,North America
New Caledonia,23,0,0,0,22,0,1,0,80.0,0.0,11602,40585.0,285867,Australia/Oceania
Laos,22,0,0,0,19,0,3,0,3.0,0.0,35428,4860.0,7289502,Asia
St. Barth,16,0,0,0,9,0,7,0,1619.0,0.0,1699,171946.0,9881,North America
Caribbean Netherlands,13,0,0,0,7,0,6,0,495.0,0.0,424,16149.0,26256,North America
British Virgin Islands,11,0,1,0,8,0,2,0,364.0,33.0,1890,62463.0,30258,North America
